,0,1
0,"[[1310.0, 69.0], [1767.0, 69.0], [1767.0, 113.0], [1310.0, 113.0]]","('Schenker of Canada Ltd', 0.9992803931236267)"
1,"[[208.0, 131.0], [353.0, 131.0], [353.0, 213.0], [208.0, 213.0]]","('DB', 0.9953565001487732)"
2,"[[388.0, 141.0], [838.0, 141.0], [838.0, 210.0], [388.0, 210.0]]","('SCHENKER', 0.9981975555419922)"
3,"[[1313.0, 162.0], [1826.0, 162.0], [1826.0, 210.0], [1313.0, 210.0]]","('1030 W Georgia St Ste 600', 0.9872494339942932)"
4,"[[1313.0, 210.0], [1760.0, 210.0], [1760.0, 254.0], [1313.0, 254.0]]","('Vancouver BC V6E 2Y3', 0.9995516538619995)"
5,"[[1313.0, 258.0], [1462.0, 258.0], [1462.0, 306.0], [1313.0, 306.0]]","('Canada', 0.9999220371246338)"
6,"[[1307.0, 298.0], [1532.0, 306.0], [1530.0, 355.0], [1306.0, 347.0]]","('Phone No.:', 0.9977275729179382)"
7,"[[1580.0, 299.0], [1889.0, 303.0], [1888.0, 351.0], [1580.0, 347.0]]","('+1 604 6888511', 0.9996544718742371)"
8,"[[1310.0, 351.0], [1479.0, 351.0], [1479.0, 399.0], [1310.0, 399.0]]","('Fax No.:', 0.9978712201118469)"
9,"[[1580.0, 347.0], [1889.0, 351.0], [1888.0, 399.0], [1580.0, 395.0]]","('+1 604 6885212', 0.9997625946998596)"
10,"[[1308.0, 394.0], [1453.0, 403.0], [1450.0, 448.0], [1305.0, 439.0]]","('E-mail:', 0.9996201395988464)"
11,"[[229.0, 474.0], [1334.0, 474.0], [1334.0, 522.0], [229.0, 522.0]]","('Drayage Instruction: DRY00oooo0009121', 0.9019162058830261)"
12,"[[196.0, 553.0], [358.0, 561.0], [355.0, 609.0], [193.0, 601.0]]","('Sent to:', 0.9999232292175293)"
13,"[[471.0, 560.0], [561.0, 560.0], [561.0, 602.0], [471.0, 602.0]]","('Ref.:', 0.9498060941696167)"
14,"[[1305.0, 552.0], [1425.0, 561.0], [1421.0, 610.0], [1301.0, 600.0]]","('Date:', 0.9997771382331848)"
15,"[[1684.0, 557.0], [1933.0, 557.0], [1933.0, 605.0], [1684.0, 605.0]]","('07-Dec-2022', 0.9991317987442017)"
16,"[[197.0, 605.0], [655.0, 605.0], [655.0, 653.0], [197.0, 653.0]]","('NGL Transportation LLC', 0.9626634120941162)"
17,"[[1310.0, 608.0], [1427.0, 608.0], [1427.0, 657.0], [1310.0, 657.0]]","('Page:', 0.999908447265625)"
18,"[[1684.0, 605.0], [1798.0, 605.0], [1798.0, 653.0], [1684.0, 653.0]]","('2 of 2', 0.9475213885307312)"
19,"[[197.0, 653.0], [464.0, 653.0], [464.0, 701.0], [197.0, 701.0]]","('c/o TAB Bank', 0.9976575970649719)"
20,"[[1313.0, 660.0], [1569.0, 660.0], [1569.0, 698.0], [1313.0, 698.0]]","('Your Contact:', 0.9999538660049438)"
21,"[[1687.0, 653.0], [1895.0, 653.0], [1895.0, 701.0], [1687.0, 701.0]]","('Edith Rollo', 0.9513092637062073)"
